nohup: ignoring input
t=2026-04-22T08:19:11+0000 lvl=info msg="no configuration paths supplied"
t=2026-04-22T08:19:11+0000 lvl=info msg="using configuration at default config path" path=/home/azureuser/.config/ngrok/ngrok.yml
t=2026-04-22T08:19:11+0000 lvl=info msg="open config file" path=/home/azureuser/.config/ngrok/ngrok.yml err=nil
t=2026-04-22T08:19:11+0000 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-22T08:19:11+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-22T08:19:11+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-22T08:19:11+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-22T08:19:11+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8787 url=https://reformer-unicycle-evacuee.ngrok-free.dev
t=2026-04-22T08:19:12+0000 lvl=info msg="update available" obj=updater
t=2026-04-22T08:19:32+0000 lvl=info msg="join connections" obj=join id=149d08b05f9f l=127.0.0.1:8787 r=130.248.126.34:41156
t=2026-04-22T08:19:47+0000 lvl=info msg="join connections" obj=join id=d6cae4803902 l=127.0.0.1:8787 r=130.248.126.34:41156
t=2026-04-22T08:20:02+0000 lvl=info msg="join connections" obj=join id=1538df72acbb l=127.0.0.1:8787 r=130.248.126.34:41156
t=2026-04-22T08:20:17+0000 lvl=info msg="join connections" obj=join id=3355f1ea094a l=127.0.0.1:8787 r=130.248.126.34:41156
t=2026-04-22T08:20:32+0000 lvl=info msg="join connections" obj=join id=9a4891e71283 l=127.0.0.1:8787 r=130.248.126.34:41156
t=2026-04-22T08:20:47+0000 lvl=info msg="join connections" obj=join id=e920d8848876 l=127.0.0.1:8787 r=130.248.126.34:41156
t=2026-04-22T08:21:02+0000 lvl=info msg="join connections" obj=join id=efecbd28c832 l=127.0.0.1:8787 r=130.248.126.34:41156
t=2026-04-22T08:21:17+0000 lvl=info msg="join connections" obj=join id=f8ace155834e l=127.0.0.1:8787 r=130.248.126.34:41156
t=2026-04-22T08:21:32+0000 lvl=info msg="join connections" obj=join id=5cdebf437adb l=127.0.0.1:8787 r=130.248.126.34:41156
t=2026-04-22T08:21:47+0000 lvl=info msg="join connections" obj=join id=6033d5c1a880 l=127.0.0.1:8787 r=130.248.126.34:41156
t=2026-04-22T08:22:02+0000 lvl=info msg="join connections" obj=join id=de41fdbaaf82 l=127.0.0.1:8787 r=130.248.126.34:47399
